,Pclass,Sex,Age,SibSp,Parch,Hometown,Boarded,Lifeboat,survived
0,3,male,22.0,1,0,"Bridgerule, Devon, England",Southampton,,0
1,1,female,38.0,1,0,"New York, New York, US",Cherbourg,4,1
2,3,female,26.0,0,0,"Jyväskylä, Finland",Southampton,14,1
3,1,female,35.0,1,0,"Scituate, Massachusetts, US",Southampton,D,1
4,3,male,35.0,0,0,"Birmingham, West Midlands, England",Southampton,,0
5,3,male,,0,0,"Cork, Ireland",Queenstown,,0
6,1,male,54.0,0,0,"Dorchester, Massachusetts, US",Southampton,,0
7,3,male,2.0,3,1,"Bjuv, Skåne, Sweden",Southampton,,0
8,3,female,27.0,0,2,"St. Charles, Illinois, US",Southampton,15,1
9,2,female,14.0,1,0,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,,1
10,3,female,4.0,1,1,"Motala, Östergötland, Sweden",Southampton,13,1
11,1,female,58.0,0,0,"Youngstown, Ohio, US",Southampton,8,1
12,3,male,20.0,0,0,"St Austell, Cornwall, England",Southampton,,0
13,3,male,39.0,1,5,"Kisa, Östergötland, Sweden",Southampton,,0
14,3,female,14.0,0,0,"Salmunds, Gotland, Sweden",Southampton,,0
15,2,female,55.0,0,0,"Lucknow, British India, UK[note 3]",Southampton,13,1
16,3,male,2.0,4,1,"Athlone, Westmeath, Ireland",Queenstown,,0
17,2,male,,0,0,"Harrow, London, England",Southampton,14,1
18,3,female,31.0,1,0,"Pittem, Belgium",Southampton,,0
19,3,female,,0,0,"Tebnine, Lebanon",Cherbourg,C,1
20,2,male,35.0,0,0,"Liverpool, Merseyside, England, UK",Southampton,,0
21,2,male,34.0,0,0,"London, England, UK",Southampton,13,1
22,3,female,15.0,0,0,"Massbrook, Mayo, Ireland",Queenstown,13,1
23,1,male,28.0,0,0,"New Britain, Connecticut, US",Southampton,7,1
24,3,female,8.0,3,1,"Bjuv, Skåne, Sweden",Southampton,,0
25,3,female,38.0,1,5,"Alseda, Småland, Sweden",Southampton,15,1
26,3,male,,0,0,"Hadath, Lebanon",Cherbourg,,0
27,1,male,19.0,3,2,"Winnipeg, Manitoba, Canada",Southampton,,0
28,3,female,,0,0,"Limerick, Limerick, Ireland",Queenstown,,1
29,3,male,,0,0,"Unknown, Bulgaria",Southampton,,0
30,1,male,40.0,0,0,"Mexico City, Mexico",Cherbourg,,0
31,1,female,,1,0,"New York, New York, US",Cherbourg,6,1
32,3,female,,0,0,"Killaloe, Clare, Ireland",Queenstown,13,1
33,2,male,66.0,0,0,"Guernsey, Channel Islands",Southampton,,0
34,1,male,28.0,1,0,"New York, New York, US",Cherbourg,,0
35,1,male,42.0,1,0,"New York, New York, US",Southampton,,0
36,3,male,,0,0,"Tripoli, Lebanon",Cherbourg,15,1
37,3,male,21.0,0,0,"Penwithick, Cornwall, England",Southampton,,0
38,3,female,18.0,2,0,"Zwevezele, Belgium",Southampton,,0
39,3,female,14.0,1,0,"El-Hakour, Lebanon",Cherbourg,C,1
40,3,female,40.0,1,0,"Göteborg, Västergötland, Sweden",Southampton,,0
41,2,female,27.0,1,0,"Plymouth, Devon, England",Southampton,,0
42,3,male,,0,0,"Vetren, Bulgaria",Cherbourg,,0
43,2,female,3.0,1,2,"Paris, France",Cherbourg,14,1
44,3,female,19.0,0,0,"Kilmacowen, Sligo, Ireland",Queenstown,C,1
45,3,male,,0,0,"Pontardawe, West Glamorgan, Wales",Southampton,,0
46,3,male,,1,0,"Ballymahon, Longford, Ireland",Queenstown,,0
47,3,female,,0,0,"Ballydehob, Cork, Ireland",Queenstown,D,1
48,3,male,,2,0,"Hardîne, Lebanon",Cherbourg,,0
49,3,female,18.0,1,0,"Altdorf, Uri, Switzerland",Southampton,,0
50,3,male,7.0,4,1,"Ylihärmä, South Ostrobothnia, Finland",Southampton,,0
51,3,male,21.0,0,0,"Newton Abbot, Devon, England",Southampton,,0
52,1,female,49.0,1,0,"New York, New York, US",Cherbourg,3,1
53,2,female,29.0,1,0,"Manchester, England",Southampton,16,1
54,1,male,65.0,0,1,"Providence, Rhode Island, US",Southampton,,0
55,1,male,,0,0,"London, England, UK",Southampton,D,1
56,2,female,21.0,0,0,"Guernsey, Channel Islands",Southampton,12,1
57,3,male,28.5,0,0,"Kafr Mishki, Lebanon",Cherbourg,,0
58,2,female,5.0,1,2,"Bournemouth, Dorset, England",Southampton,10,1
59,3,male,11.0,5,2,"Fulham, England",Southampton,,0
60,3,male,22.0,0,0,"Kiğı, Turkey",Cherbourg,,0
61,1,female,38.0,0,0,"New York, New York, US",Southampton,6,1
62,1,male,45.0,1,0,"New York, New York, US",Southampton,,0
63,3,male,4.0,3,2,"Hällekis, Västergötland, Sweden",Southampton,,0
64,1,male,,0,0,"Cincinnati, Ohio, US",Cherbourg,,0
65,3,male,,1,1,"Hardîne, Lebanon",Cherbourg,C,1
66,2,female,29.0,0,0,"East Orange, New Jersey, US",Southampton,11,1
67,3,male,19.0,0,0,"Bristol, Avon, England",Southampton,,0
68,3,female,17.0,4,2,"Kullaa, Finland",Southampton,D,1
69,3,male,26.0,2,0,"Zürich, Switzerland",Southampton,,0
70,2,male,32.0,0,0,"St. Ives, Cornwall, England",Southampton,,0
71,3,female,16.0,5,2,"Fulham, England",Southampton,,0
72,2,male,21.0,0,0,"Fritham, Hampshire, England",Southampton,,0
73,3,male,26.0,1,0,"Agios Sostis, Peloponnese, Greece",Cherbourg,,0
74,3,male,32.0,0,0,"Hong Kong, China",Southampton,C,1
75,3,male,25.0,0,0,"Bergen, Norway",Southampton,,0
76,3,male,,0,0,"Debnevo, Troyan, Bulgaria",Southampton,,0
77,3,male,,0,0,"London, England",Southampton,,0
78,2,male,0.83,0,2,"Bangkok, Siam",Southampton,13,1
79,3,female,30.0,0,0,"New York City, New York, US",Southampton,13,1
80,3,male,22.0,0,0,"Ruiselede, West Flanders, Belgium",Southampton,,0
81,3,male,29.0,0,0,"Haaltert, East Flanders, Belgium",Southampton,11,1
82,3,female,,0,0,"Lahardane, Mayo, Ireland",Queenstown,13,1
83,1,male,28.0,0,0,"Montevideo, Uruguay",Southampton,,0
84,2,female,17.0,0,0,"Jersey, Channel Islands",Southampton,,1
85,3,female,33.0,3,0,"Kotka, Finland",Southampton,D,1
86,3,male,16.0,1,3,"Rotherfield, East Sussex, England",Southampton,,0
87,3,male,,0,0,"London, England",Southampton,,0
88,1,female,23.0,3,2,"Winnipeg, Manitoba, Canada",Southampton,10,1
89,3,male,24.0,0,0,"Milan[83], Italy",Southampton,,0
90,3,male,29.0,0,0,"London, England",Southampton,,0
91,3,male,20.0,0,0,"Kalfsnäs, Småland, Sweden",Southampton,,0
92,1,male,46.0,1,0,"Amenia, North Dakota, US",Southampton,,0
93,3,male,26.0,1,2,"Bartley Farm, Hampshire, England",Southampton,,0
94,3,male,59.0,0,0,"London, England",Southampton,,0
95,3,male,,0,0,"Heron's Ghyll, East Sussex, England",Southampton,,0
96,1,male,71.0,0,0,"New York, New York, US",Cherbourg,,0
97,1,male,23.0,0,1,"New York, New York, US",Cherbourg,7,1
98,2,female,34.0,0,1,"Southampton, Hampshire, England, UK",Southampton,,1
99,2,male,34.0,1,0,"Vitebsk, Russian Empire",Southampton,,0
100,3,female,28.0,0,0,"Vagovina, Croatia",Southampton,,0
101,3,male,,0,0,"Belish, Troyan, Bulgaria",Southampton,,0
102,1,male,21.0,0,1,"Brunswick, Maine, US",Southampton,,0
103,3,male,33.0,0,0,"Bäckebo, Småland, Sweden",Southampton,,0
104,3,male,37.0,2,0,"Ruotsinpyhtää, Finland",Southampton,,0
105,3,male,28.0,0,0,"Gumostnik, Lovec, Bulgaria",Southampton,,0
106,3,female,21.0,0,0,"Ålesund, Møre og Romsdal, Norway",Southampton,C,1
107,3,male,,0,0,"Bergen, Norway",Southampton,B,1
108,3,male,38.0,0,0,"Bosanska Krupa, Bosnia",Southampton,,0
109,3,female,,1,0,"Askeaton, Limerick, Ireland",Queenstown,16,1
110,1,male,47.0,0,0,"Worcester, Massachusetts, US",Southampton,,0
111,3,female,14.5,1,0,"Unknown, Syria",Cherbourg,,0
112,3,male,22.0,0,0,"Cambridge, Cambridgeshire, England",Southampton,,0
