Column,Pclass,Sex,Age,SibSp,Parch,Country,Boarded,Lifeboat,survived
0,3,male,22,1,0,United Kingdom,Southampton,,0
1,1,female,38,1,0,United States of America,Cherbourg,4,1
2,3,female,26,0,0,Finland,Southampton,14,1
3,1,female,35,1,0,United States of America,Southampton,D,1
4,3,male,35,0,0,United Kingdom,Southampton,,0
5,3,male,,0,0,Ireland,Queenstown,,0
6,1,male,54,0,0,United States of America,Southampton,,0
7,3,male,2,3,1,Sweden,Southampton,,0
8,3,female,27,0,2,United States of America,Southampton,15,1
9,2,female,14,1,0,Lebanon,Cherbourg,,1
10,3,female,4,1,1,Sweden,Southampton,13,1
11,1,female,58,0,0,United States of America,Southampton,8,1
12,3,male,20,0,0,United Kingdom,Southampton,,0
13,3,male,39,1,5,Sweden,Southampton,,0
14,3,female,14,0,0,Sweden,Southampton,,0
15,2,female,55,0,0,United Kingdom,Southampton,13,1
16,3,male,2,4,1,Ireland,Queenstown,,0
17,2,male,,0,0,United Kingdom,Southampton,14,1
18,3,female,31,1,0,Belgium,Southampton,,0
19,3,female,,0,0,Lebanon,Cherbourg,C,1
20,2,male,35,0,0,United Kingdom,Southampton,,0
21,2,male,34,0,0,United Kingdom,Southampton,13,1
22,3,female,15,0,0,Ireland,Queenstown,13,1
23,1,male,28,0,0,United States of America,Southampton,7,1
24,3,female,8,3,1,Sweden,Southampton,,0
25,3,female,38,1,5,Sweden,Southampton,15,1
26,3,male,,0,0,Lebanon,Cherbourg,,0
27,1,male,19,3,2,Canada,Southampton,,0
28,3,female,,0,0,Ireland,Queenstown,,1
29,3,male,,0,0,Bulgaria,Southampton,,0
30,1,male,40,0,0,Mexico,Cherbourg,,0
31,1,female,,1,0,United States of America,Cherbourg,6,1
32,3,female,,0,0,Ireland,Queenstown,13,1
33,2,male,66,0,0,United Kingdom,Southampton,,0
34,1,male,28,1,0,United States of America,Cherbourg,,0
35,1,male,42,1,0,United States of America,Southampton,,0
36,3,male,,0,0,Lebanon,Cherbourg,15,1
37,3,male,21,0,0,United Kingdom,Southampton,,0
38,3,female,18,2,0,Belgium,Southampton,,0
39,3,female,14,1,0,Lebanon,Cherbourg,C,1
40,3,female,40,1,0,Sweden,Southampton,,0
41,2,female,27,1,0,United Kingdom,Southampton,,0
42,3,male,,0,0,Bulgaria,Cherbourg,,0
43,2,female,3,1,2,France,Cherbourg,14,1
44,3,female,19,0,0,Ireland,Queenstown,C,1
45,3,male,,0,0,Wales,Southampton,,0
46,3,male,,1,0,Ireland,Queenstown,,0
47,3,female,,0,0,Ireland,Queenstown,D,1
48,3,male,,2,0,Lebanon,Cherbourg,,0
49,3,female,18,1,0,Switzerland,Southampton,,0
50,3,male,7,4,1,Finland,Southampton,,0
51,3,male,21,0,0,United Kingdom,Southampton,,0
52,1,female,49,1,0,United States of America,Cherbourg,3,1
53,2,female,29,1,0,United Kingdom,Southampton,16,1
54,1,male,65,0,1,United States of America,Southampton,,0
55,1,male,,0,0,United Kingdom,Southampton,D,1
56,2,female,21,0,0,United Kingdom,Southampton,12,1
57,3,male,28,0,0,Lebanon,Cherbourg,,0
58,2,female,5,1,2,United Kingdom,Southampton,10,1
59,3,male,11,5,2,United Kingdom,Southampton,,0
60,3,male,22,0,0,Turkey,Cherbourg,,0
61,1,female,38,0,0,United States of America,Southampton,6,1
62,1,male,45,1,0,United States of America,Southampton,,0
63,3,male,4,3,2,Sweden,Southampton,,0
64,1,male,,0,0,United States of America,Cherbourg,,0
65,3,male,,1,1,Lebanon,Cherbourg,C,1
66,2,female,29,0,0,United States of America,Southampton,11,1
67,3,male,19,0,0,United Kingdom,Southampton,,0
68,3,female,17,4,2,Finland,Southampton,D,1
69,3,male,26,2,0,Switzerland,Southampton,,0
70,2,male,32,0,0,United Kingdom,Southampton,,0
71,3,female,16,5,2,United Kingdom,Southampton,,0
72,2,male,21,0,0,United Kingdom,Southampton,,0
73,3,male,26,1,0,Greece,Cherbourg,,0
74,3,male,32,0,0,China,Southampton,C,1
75,3,male,25,0,0,Norway,Southampton,,0
76,3,male,,0,0,Bulgaria,Southampton,,0
77,3,male,,0,0,United Kingdom,Southampton,,0
78,2,male,1,0,2,Thailand,Southampton,13,1
79,3,female,30,0,0,United States of America,Southampton,13,1
80,3,male,22,0,0,Belgium,Southampton,,0
81,3,male,29,0,0,Belgium,Southampton,11,1
82,3,female,,0,0,Ireland,Queenstown,13,1
83,1,male,28,0,0,Uruguay,Southampton,,0
84,2,female,17,0,0,United Kingdom,Southampton,,1
85,3,female,33,3,0,Finland,Southampton,D,1
86,3,male,16,1,3,United Kingdom,Southampton,,0
87,3,male,,0,0,United Kingdom,Southampton,,0
88,1,female,23,3,2,Canada,Southampton,10,1
89,3,male,24,0,0,Italy,Southampton,,0
90,3,male,29,0,0,United Kingdom,Southampton,,0
91,3,male,20,0,0,Sweden,Southampton,,0
92,1,male,46,1,0,United States of America,Southampton,,0
93,3,male,26,1,2,United Kingdom,Southampton,,0
94,3,male,59,0,0,United Kingdom,Southampton,,0
95,3,male,,0,0,United Kingdom,Southampton,,0
96,1,male,71,0,0,United States of America,Cherbourg,,0
97,1,male,23,0,1,United States of America,Cherbourg,7,1
98,2,female,34,0,1,United Kingdom,Southampton,,1
99,2,male,34,1,0,Russia,Southampton,,0
100,3,female,28,0,0,Croatia,Southampton,,0
101,3,male,,0,0,Bulgaria,Southampton,,0
102,1,male,21,0,1,United States of America,Southampton,,0
103,3,male,33,0,0,Sweden,Southampton,,0
104,3,male,37,2,0,Finland,Southampton,,0
105,3,male,28,0,0,Bulgaria,Southampton,,0
106,3,female,21,0,0,Norway,Southampton,C,1
107,3,male,,0,0,Norway,Southampton,B,1
108,3,male,38,0,0,Bosnia,Southampton,,0
109,3,female,,1,0,Ireland,Queenstown,16,1
110,1,male,47,0,0,United States of America,Southampton,,0
111,3,female,14,1,0,Syria,Cherbourg,,0
112,3,male,22,0,0,United Kingdom,Southampton,,0
113,3,female,20,1,0,Finland,Southampton,,0
114,3,female,17,0,0,Lebanon,Cherbourg,,0
115,3,male,21,0,0,Finland,Southampton,,0
116,3,male,70,0,0,Ireland,Queenstown,,0
117,2,male,29,1,0,United Kingdom,Southampton,,0
118,1,male,24,0,1,Canada,Cherbourg,,0
119,3,female,2,4,2,Sweden,Southampton,,0
120,2,male,21,2,0,United Kingdom,Southampton,,0
121,3,male,,0,0,United Kingdom,Southampton,,0
122,2,male,32,1,0,Lebanon,Cherbourg,,0
123,2,female,32,0,0,United Kingdom,Southampton,12,1
124,1,male,54,0,1,United States of America,Southampton,,0
125,3,male,12,1,0,Lebanon,Cherbourg,C,1
126,3,male,,0,0,Ireland,Queenstown,,0
127,3,male,24,0,0,Norway,Southampton,13,1
128,3,female,,1,1,Syria,Cherbourg,C,1
129,3,male,45,0,0,United States of America,Southampton,,0
130,3,male,33,0,0,Croatia,Cherbourg,,0
131,3,male,20,0,0,Portugal,Southampton,,0
132,3,female,47,1,0,United Kingdom,Southampton,,0
133,2,female,29,1,0,United Kingdom,Southampton,10,1
134,2,male,25,0,0,United Kingdom,Southampton,,0
135,2,male,23,0,0,France,Cherbourg,,0
136,1,female,19,0,2,United States of America,Southampton,5,1
137,1,male,37,1,0,United States of America,Southampton,,0
138,3,male,16,0,0,Sweden,Southampton,,0
139,1,male,24,0,0,France,Cherbourg,,0
140,3,female,,0,2,Lebanon,Cherbourg,,0
141,3,female,22,0,0,Sweden,Southampton,13,1
142,3,female,24,1,0,Finland,Southampton,15,1
143,3,male,19,0,0,Ireland,Queenstown,,0
144,2,male,18,0,0,Argentina,Southampton,,0
145,2,male,19,1,1,United Kingdom,Southampton,,0
146,3,male,27,0,0,Sweden,Southampton,A,1
147,3,female,9,2,2,United Kingdom,Southampton,,0
148,2,male,36,0,2,France,Southampton,,0
149,2,male,42,0,0,United Kingdom,Southampton,,0
150,2,male,51,0,0,United States of America,Southampton,,0
151,1,female,22,1,0,United Kingdom,Southampton,8,1
152,3,male,55,0,0,United Kingdom,Southampton,,0
153,3,male,40,0,2,United Kingdom,Southampton,,0
154,3,male,,0,0,Norway,Southampton,,0
155,1,male,51,0,1,Switzerland,Cherbourg,,0
156,3,female,16,0,0,Ireland,Queenstown,16,1
157,3,male,30,0,0,United Kingdom,Southampton,,0
158,3,male,,0,0,Croatia,Southampton,,0
159,3,male,,8,2,United Kingdom,Southampton,,0
160,3,male,44,0,1,United Kingdom,Southampton,,0
161,2,female,40,0,0,United Kingdom,Southampton,9,1
162,3,male,26,0,0,Sweden,Southampton,,0
163,3,male,17,0,0,Croatia,Southampton,,0
